磁芯损耗，w/m3,频率，Hz,温度，oC,励磁波形,均值,中位数,总和,标准差,最小值,最大值,极差,变异系数,Q1,Q3,偏度,峰度,主频
1759.006565,56320,25,1,0.000000,0.000000,0.000000,0.017575,-0.024866,0.024829,0.049694,1636043632.057214,-0.017533,0.017515,-0.001737,-1.498423,0.000976
2364.873224,56310,25,1,-0.000000,0.000005,-0.000000,0.019690,-0.027876,0.027813,0.055688,-3360413997.913759,-0.019667,0.019629,-0.002628,-1.498274,0.000976
3132.233226,56320,25,1,0.000000,0.000000,0.000000,0.022049,-0.031246,0.031157,0.062403,2822284877.792886,-0.021990,0.022002,-0.002897,-1.497236,0.000976
4363.429973,56320,25,1,0.000000,0.000000,0.000000,0.025039,-0.035525,0.035421,0.070946,1424459372.843695,-0.024938,0.024950,-0.003200,-1.494856,0.000976
5773.018252,56320,25,1,-0.000000,0.000024,-0.000000,0.028085,-0.039867,0.039719,0.079586,-1027105556.889879,-0.027985,0.027929,-0.003813,-1.494869,0.000976
9988.187279,56320,25,1,-0.000000,0.000078,-0.000000,0.034927,-0.049525,0.049291,0.098816,-760973136.744494,-0.034803,0.034851,-0.005083,-1.497138,0.000976
13463.780920,56310,25,1,-0.000000,0.000095,-0.000000,0.039611,-0.056190,0.055899,0.112089,-2385970720.486799,-0.039478,0.039539,-0.005508,-1.497361,0.000976
23248.314100,56310,25,1,0.000000,0.000035,0.000000,0.050090,-0.071156,0.070738,0.141894,625518204.829661,-0.049969,0.049906,-0.006422,-1.495215,0.000976
39002.198590,56320,25,1,-0.000000,0.000238,-0.000000,0.062267,-0.088251,0.087618,0.175869,-5796530990.689107,-0.062139,0.062079,-0.007600,-1.499338,0.000976
50069.234310,56320,25,1,-0.000000,0.000323,-0.000000,0.069347,-0.098323,0.097541,0.195863,-4177129605.072508,-0.069321,0.069299,-0.008569,-1.500145,0.000976
66762.876370,56320,25,1,-0.000000,0.000223,-0.000000,0.078510,-0.111342,0.110359,0.221701,-2115638220.657154,-0.078271,0.078294,-0.009445,-1.501717,0.000976
113796.113400,56310,25,1,-0.000000,0.000449,-0.000000,0.098314,-0.139395,0.137948,0.277343,-50336594962.930809,-0.098252,0.098405,-0.011173,-1.504323,0.000976
148257.112900,56310,25,1,0.000000,0.000621,0.000000,0.110001,-0.156059,0.154214,0.310273,4505661008.952851,-0.110020,0.109933,-0.012437,-1.504776,0.000976
198685.054500,56320,25,1,0.000000,0.000599,0.000000,0.123879,-0.175767,0.173504,0.349272,18121662338.390903,-0.123823,0.124140,-0.013502,-1.505784,0.000976
255933.267800,56320,25,1,-0.000000,0.000916,-0.000000,0.137800,-0.195473,0.192730,0.388203,-141095961514.386353,-0.137935,0.138117,-0.014711,-1.508217,0.000976
331623.217100,56320,25,1,-0.000000,0.001139,-0.000000,0.154309,-0.218360,0.214929,0.433289,-52671165531.408806,-0.154843,0.154771,-0.016272,-1.513722,0.000976
416358.316800,56320,25,1,-0.000000,0.001634,-0.000000,0.170012,-0.240404,0.236343,0.476747,-24870250342.838436,-0.171218,0.171185,-0.017359,-1.516513,0.000976
534557.298600,56310,25,1,-0.000000,0.001803,-0.000000,0.190305,-0.268948,0.263948,0.532896,-7495122796.870688,-0.191940,0.191726,-0.019260,-1.519911,0.000976
1507.127686,63010,25,1,-0.000000,0.000010,-0.000000,0.015650,-0.022159,0.022059,0.044218,-2003250099.517344,-0.015632,0.015646,-0.003968,-1.499802,0.000976
1987.499520,63020,25,1,0.000000,0.000021,0.000000,0.017533,-0.024833,0.024726,0.049559,448840908.168800,-0.017523,0.017503,-0.004102,-1.499028,0.000976
2690.828365,63020,25,1,-0.000000,0.000003,-0.000000,0.019783,-0.028038,0.027911,0.055950,-547513440.034240,-0.019752,0.019773,-0.004290,-1.497961,0.000976
4918.264521,63020,25,1,-0.000000,-0.000000,-0.000000,0.025074,-0.035575,0.035428,0.071003,-466826263.497408,-0.024950,0.025025,-0.004049,-1.495949,0.000976
6538.643558,63020,25,1,-0.000000,-0.000000,-0.000000,0.027954,-0.039632,0.039389,0.079021,-8651472430191206.000000,-0.027858,0.027894,-0.006017,-1.498584,0.000976
11504.916560,63020,25,1,-0.000000,0.000078,-0.000000,0.035342,-0.050163,0.049814,0.099977,-1340393292.823661,-0.035296,0.035277,-0.006947,-1.497664,0.000976
14827.082940,63020,25,1,0.000000,0.000054,0.000000,0.039632,-0.056285,0.055886,0.112170,541104681.402140,-0.039502,0.039462,-0.007046,-1.496569,0.000976
19682.181680,63020,25,1,0.000000,0.000105,0.000000,0.044614,-0.063400,0.062966,0.126366,45685906876.117416,-0.044375,0.044394,-0.006736,-1.495083,0.000976
26015.313620,63020,25,1,-0.000000,0.000118,-0.000000,0.050161,-0.071324,0.070768,0.142092,-1467572082.368077,-0.049996,0.049929,-0.007854,-1.495387,0.000976
33431.108900,63020,25,1,-0.000000,0.000184,-0.000000,0.055774,-0.079125,0.078459,0.157584,-1842324654.763736,-0.055631,0.055617,-0.008307,-1.497941,0.000976
43311.217060,63020,25,1,0.000000,0.000364,0.000000,0.062461,-0.088691,0.087841,0.176531,6396031821.710522,-0.062272,0.062352,-0.009644,-1.498362,0.000976
56888.046490,63020,25,1,0.000000,0.000397,0.000000,0.070288,-0.099795,0.098823,0.198618,1673841872.060261,-0.070094,0.070182,-0.010032,-1.499592,0.000976
73132.612120,63020,25,1,0.000000,0.000461,0.000000,0.078411,-0.111380,0.110218,0.221599,1911737992.955328,-0.078320,0.078259,-0.010567,-1.499538,0.000976
96561.454890,63020,25,1,-0.000000,0.000418,-0.000000,0.088519,-0.125783,0.124336,0.250119,-30214330233.022312,-0.088386,0.088353,-0.011788,-1.500564,0.000976
124836.890700,63020,25,1,-0.000000,0.000449,-0.000000,0.098998,-0.140773,0.138987,0.279760,-5631888222.251212,-0.098706,0.098891,-0.012919,-1.500264,0.000976
164156.680800,63020,25,1,0.000000,0.000927,0.000000,0.111458,-0.158574,0.156474,0.315048,57066035003.669548,-0.111425,0.111157,-0.013655,-1.499974,0.000976
213181.992400,63020,25,1,-0.000000,0.001061,-0.000000,0.124858,-0.177671,0.175147,0.352818,-3652977932.354592,-0.124616,0.124859,-0.014667,-1.501266,0.000976
272698.868300,63020,25,1,0.000000,0.001193,0.000000,0.139313,-0.197857,0.194790,0.392647,20379308271.827518,-0.139516,0.139527,-0.015942,-1.505519,0.000976
345321.440200,63020,25,1,-0.000000,0.001194,-0.000000,0.154553,-0.219521,0.215860,0.435382,-19782741407.507591,-0.154935,0.154954,-0.017075,-1.506709,0.000976
450682.327600,63030,25,1,-0.000000,0.002059,-0.000000,0.174231,-0.247350,0.242998,0.490348,-6152159168.227621,-0.174473,0.174898,-0.018090,-1.509106,0.000976
568872.009900,63030,25,1,-0.000000,0.001860,-0.000000,0.193217,-0.274316,0.268988,0.543303,-17986815918.330570,-0.193603,0.194244,-0.019711,-1.511011,0.000976
2225.097322,70840,25,1,0.000000,0.000000,0.000000,0.017482,-0.024754,0.024688,0.049442,319672374.652788,-0.017432,0.017464,-0.002904,-1.498308,0.000976
3024.184603,70840,25,1,0.000000,0.000019,0.000000,0.019796,-0.028060,0.027983,0.056043,1266913892.805891,-0.019751,0.019732,-0.002779,-1.496183,0.000976
4089.657062,70840,25,1,-0.000000,0.000000,-0.000000,0.022268,-0.031578,0.031476,0.063054,-2280233098.841107,-0.022184,0.022202,-0.003633,-1.496243,0.000976
5561.224672,70840,25,1,0.000000,0.000000,0.000000,0.024837,-0.035157,0.035053,0.070210,12716398487.035269,-0.024796,0.024807,-0.003117,-1.498765,0.000976
7428.611375,70840,25,1,-0.000000,-0.000000,-0.000000,0.027898,-0.039528,0.039365,0.078893,-1098751310.076182,-0.027809,0.027851,-0.004600,-1.497959,0.000976
9781.334899,70840,25,1,0.000000,0.000060,0.000000,0.031272,-0.044336,0.044129,0.088464,941835151.064930,-0.031227,0.031172,-0.005056,-1.497744,0.000976
13030.140140,70830,25,1,0.000000,0.000001,0.000000,0.035238,-0.049984,0.049744,0.099728,1640150640.749943,-0.035142,0.035086,-0.005060,-1.496874,0.000976
17428.607150,70840,25,1,0.000000,0.000124,0.000000,0.039705,-0.056385,0.056075,0.112460,3388163355.583073,-0.039618,0.039604,-0.005790,-1.495219,0.000976
38034.451680,70840,25,1,0.000000,0.000154,0.000000,0.055704,-0.078999,0.078503,0.157502,19013602879.887539,-0.055461,0.055509,-0.006826,-1.497861,0.000976
64866.789040,70840,25,1,0.000000,0.000181,0.000000,0.070189,-0.099630,0.098839,0.198469,11978872466.398851,-0.070045,0.070053,-0.008490,-1.498597,0.000976
84929.729440,70840,25,1,0.000000,0.000400,0.000000,0.078901,-0.112003,0.111065,0.223068,80797550883.576950,-0.078695,0.078843,-0.008996,-1.499395,0.000976
109923.077000,70840,25,1,-0.000000,0.000550,-0.000000,0.088177,-0.125261,0.124095,0.249356,-5643340088.398753,-0.087865,0.088075,-0.009989,-1.498882,0.000976
144795.596300,70840,25,1,0.000000,0.000423,0.000000,0.099310,-0.141205,0.139764,0.280968,16948968423.242741,-0.099162,0.098932,-0.010840,-1.498192,0.000976
398991.665900,70840,25,1,0.000000,0.001332,0.000000,0.154810,-0.219944,0.216688,0.436632,4171715116.597685,-0.154732,0.154990,-0.015469,-1.504880,0.000976
677349.197100,70840,25,1,-0.000000,0.002315,-0.000000,0.195666,-0.278164,0.273112,0.551276,-66783207157.986076,-0.196237,0.196019,-0.018952,-1.507016,0.000976
1351.668508,79470,25,1,-0.000000,-0.000000,-0.000000,0.013842,-0.019575,0.019528,0.039103,-329641285.176756,-0.013819,0.013836,-0.002697,-1.500087,0.000976
2547.825849,79460,25,1,-0.000000,-0.000000,-0.000000,0.017619,-0.024960,0.024901,0.049861,-440034273.347334,-0.017556,0.017579,-0.002675,-1.496769,0.000976
3427.227242,79460,25,1,0.000000,0.000017,0.000000,0.019874,-0.028169,0.028096,0.056266,415329592.437373,-0.019834,0.019784,-0.002713,-1.496859,0.000976
4655.897506,79470,25,1,-0.000000,-0.000000,-0.000000,0.022117,-0.031297,0.031205,0.062502,-539228075.324209,-0.022044,0.022095,-0.003119,-1.499401,0.000976
6205.058112,79460,25,1,0.000000,0.000000,0.000000,0.024803,-0.035118,0.034995,0.070113,3628284392.833179,-0.024746,0.024751,-0.003593,-1.498688,0.000976
8367.055189,79460,25,1,0.000000,0.000064,0.000000,0.027970,-0.039609,0.039477,0.079085,2045782035.428889,-0.027938,0.027901,-0.003646,-1.498672,0.000976
11089.487720,79470,25,1,0.000000,0.000054,0.000000,0.031400,-0.044510,0.044324,0.088834,4593349132.683982,-0.031364,0.031289,-0.004490,-1.497566,0.000976
14658.562850,79470,25,1,0.000000,0.000064,0.000000,0.035173,-0.049916,0.049694,0.099610,1385287989.108631,-0.035055,0.035076,-0.004834,-1.495494,0.000976
19233.502710,79470,25,1,-0.000000,-0.000000,-0.000000,0.039715,-0.056381,0.056103,0.112484,-462143875.069888,-0.039539,0.039563,-0.005307,-1.495774,0.000976
32688.692280,79460,25,1,-0.000000,0.000051,-0.000000,0.049501,-0.070193,0.069754,0.139947,-2413752087.146663,-0.049323,0.049298,-0.006814,-1.497981,0.000976
55945.836780,79460,25,1,0.000000,0.000239,0.000000,0.062289,-0.088388,0.087733,0.176121,15945858695.448185,-0.062058,0.062069,-0.007834,-1.498440,0.000976
74362.246120,79460,25,1,-0.000000,0.000261,-0.000000,0.070349,-0.099862,0.099049,0.198911,-3791432758.578517,-0.070278,0.070199,-0.008702,-1.498923,0.000976
128576.416200,79460,25,1,-0.000000,0.000462,-0.000000,0.088838,-0.126312,0.125062,0.251374,-2165945019.548209,-0.088644,0.088487,-0.010469,-1.497550,0.000976
166639.673600,79460,25,1,-0.000000,0.000737,-0.000000,0.099402,-0.141386,0.139882,0.281268,-5987490050.587562,-0.099002,0.099218,-0.011399,-1.498189,0.000976
218449.896500,79470,25,1,0.000000,0.000592,0.000000,0.111630,-0.158497,0.156669,0.315167,22861809347.436970,-0.111487,0.111329,-0.012233,-1.501684,0.000976
273541.545000,79460,25,1,0.000000,0.001093,0.000000,0.123059,-0.174851,0.172642,0.347493,5040481625.508535,-0.122843,0.122988,-0.013557,-1.501692,0.000976
360199.272100,79460,25,1,0.000000,0.001011,0.000000,0.138789,-0.197246,0.194522,0.391768,23686405909.227291,-0.138779,0.138740,-0.014752,-1.502830,0.000976
461810.566700,79460,25,1,-0.000000,0.001199,-0.000000,0.154816,-0.220195,0.216796,0.436991,-52844147808.279938,-0.154774,0.154813,-0.016424,-1.503202,0.000976
613904.336200,79460,25,1,0.000000,0.001400,0.000000,0.175360,-0.249594,0.245326,0.494921,179558278585.464050,-0.175412,0.175179,-0.017883,-1.503399,0.000976
1129.391913,89080,25,1,-0.000000,-0.000000,-0.000000,0.012379,-0.017506,0.017465,0.034971,-905472118.173814,-0.012356,0.012380,-0.002472,-1.500615,0.000976
1532.851361,89080,25,1,-0.000000,0.000022,-0.000000,0.013960,-0.019750,0.019692,0.039442,-680728683.175048,-0.013951,0.013955,-0.003256,-1.500150,0.000976
2119.668152,89080,25,1,-0.000000,-0.000000,-0.000000,0.015683,-0.022222,0.022148,0.044370,-3211972909.952055,-0.015625,0.015658,-0.003592,-1.497563,0.000976
5166.874084,89090,25,1,0.000000,0.000000,0.000000,0.022020,-0.031176,0.031061,0.062238,524382197.194025,-0.021959,0.022000,-0.004023,-1.499033,0.000976
7061.093869,89080,25,1,-0.000000,0.000028,-0.000000,0.024844,-0.035191,0.035041,0.070231,-2120025164.658251,-0.024835,0.024786,-0.004519,-1.499264,0.000976
9430.124430,89080,25,1,0.000000,0.000000,0.000000,0.027880,-0.039513,0.039327,0.078840,320776552.176285,-0.027807,0.027860,-0.005046,-1.498524,0.000976
12766.462460,89080,25,1,0.000000,0.000019,0.000000,0.031483,-0.044664,0.044448,0.089112,16119095859.782511,-0.031410,0.031426,-0.005209,-1.496565,0.000976
21893.480220,89090,25,1,-0.000000,0.000108,-0.000000,0.039308,-0.055684,0.055365,0.111049,-2983657483302294.000000,-0.039296,0.039299,-0.006029,-1.498399,0.000976
28291.141840,89080,25,1,-0.000000,0.000167,-0.000000,0.044093,-0.062499,0.062112,0.124612,-22575611621.018826,-0.044014,0.044021,-0.006697,-1.498368,0.000976
49708.073260,89090,25,1,0.000000,0.000267,0.000000,0.055834,-0.079221,0.078637,0.157858,5717386144.324511,-0.055782,0.055724,-0.007951,-1.498573,0.000976
65196.276380,89080,25,1,0.000000,0.000318,0.000000,0.062656,-0.088949,0.088198,0.177148,4582847723.329702,-0.062593,0.062571,-0.009034,-1.499011,0.000976
85243.358860,89080,25,1,-0.000000,0.000442,-0.000000,0.070192,-0.099711,0.098804,0.198515,-4492261278.741845,-0.070095,0.070006,-0.009824,-1.498323,0.000976
112150.646700,89090,25,1,-0.000000,0.000421,-0.000000,0.078795,-0.112046,0.110936,0.222982,-26894958052.190742,-0.078595,0.078572,-0.010561,-1.497139,0.000976
147631.753300,89080,25,1,-0.000000,0.000393,-0.000000,0.088593,-0.126049,0.124657,0.250706,-18143969551.363495,-0.088269,0.088361,-0.011800,-1.497810,0.000976
193355.832200,89090,25,1,0.000000,0.000762,0.000000,0.099347,-0.141132,0.139411,0.280543,4238808072.666701,-0.099270,0.099337,-0.012946,-1.501184,0.000976
245886.896200,89080,25,1,-0.000000,0.000911,-0.000000,0.110165,-0.156592,0.154546,0.311138,-37603212669.424202,-0.110119,0.110158,-0.013914,-1.501116,0.000976
321281.574600,89090,25,1,-0.000000,0.001127,-0.000000,0.123739,-0.175945,0.173459,0.349404,-8447217361.777164,-0.123768,0.123782,-0.015021,-1.501918,0.000976
415631.781900,89090,25,1,-0.000000,0.000945,-0.000000,0.138278,-0.196778,0.193693,0.390472,-14159652132.064896,-0.138049,0.138230,-0.016698,-1.501946,0.000976
542772.715800,89090,25,1,-0.000000,0.001746,-0.000000,0.155405,-0.221371,0.217607,0.438977,-79564791275.553879,-0.155398,0.155108,-0.018052,-1.501190,0.000976
711545.317100,89080,25,1,0.000000,0.001782,0.000000,0.175139,-0.249594,0.244854,0.494449,89676270970.888885,-0.174936,0.174877,-0.020084,-1.503024,0.000976
896343.421300,89090,25,1,-0.000000,0.002696,-0.000000,0.192933,-0.274454,0.268636,0.543091,-14111718633.833109,-0.193410,0.193245,-0.022343,-1.507558,0.000976
1299.233133,99950,25,1,-0.000000,-0.000000,-0.000000,0.012392,-0.017509,0.017496,0.035005,-2842525073571264.000000,-0.012373,0.012375,-0.001018,-1.500347,0.000976
1755.831126,99950,25,1,-0.000000,0.000015,-0.000000,0.013953,-0.019729,0.019720,0.039449,-2041107605.495296,-0.013930,0.013920,-0.001167,-1.498329,0.000976
2390.408185,99950,25,1,-0.000000,-0.000000,-0.000000,0.015715,-0.022240,0.022208,0.044449,-1005774634.680762,-0.015684,0.015678,-0.001738,-1.498245,0.000976
3242.978165,99950,25,1,0.000000,0.000029,0.000000,0.017500,-0.024724,0.024682,0.049406,426663477.235248,-0.017464,0.017452,-0.002260,-1.500852,0.000976
5892.742949,99960,25,1,-0.000000,0.000012,-0.000000,0.022121,-0.031283,0.031224,0.062507,-1415713664.608927,-0.022057,0.022066,-0.002336,-1.499852,0.000976
7874.711430,99950,25,1,-0.000000,-0.000000,-0.000000,0.024763,-0.035044,0.034953,0.069997,-12678680998.982058,-0.024715,0.024755,-0.002693,-1.499090,0.000976
10735.425910,99950,25,1,-0.000000,0.000049,-0.000000,0.027926,-0.039557,0.039450,0.079007,-453907513.109662,-0.027825,0.027821,-0.003167,-1.497222,0.000976
14477.247740,99950,25,1,-0.000000,-0.000000,-0.000000,0.031491,-0.044634,0.044491,0.089125,-977174818.420752,-0.031442,0.031435,-0.003711,-1.497080,0.000976
18907.917710,99950,25,1,-0.000000,0.000088,-0.000000,0.035073,-0.049599,0.049435,0.099034,-945125978.964370,-0.035005,0.035037,-0.003812,-1.499193,0.000976
42837.664820,99950,25,1,0.000000,0.000072,0.000000,0.049616,-0.070298,0.069944,0.140241,2209004274.657039,-0.049503,0.049548,-0.005687,-1.499021,0.000976
74230.018990,99950,25,1,-0.000000,0.000196,-0.000000,0.062382,-0.088470,0.087890,0.176360,-21292883318.222317,-0.062172,0.062301,-0.007247,-1.498729,0.000976
99316.153000,99950,25,1,-0.000000,0.000264,-0.000000,0.070492,-0.100081,0.099362,0.199444,-36092311322.643211,-0.070254,0.070259,-0.007910,-1.497353,0.000976
281919.836700,99950,25,1,0.000000,0.000545,0.000000,0.109589,-0.155529,0.153916,0.309445,8015678951.788322,-0.109575,0.109652,-0.011336,-1.501554,0.000976
371891.585500,99950,25,1,0.000000,0.000700,0.000000,0.123399,-0.175255,0.173215,0.348470,126362695913.296265,-0.123338,0.123467,-0.012523,-1.501453,0.000976
486551.228100,99950,25,1,0.000000,0.000956,0.000000,0.138412,-0.196776,0.194284,0.391061,17716810102.977612,-0.138099,0.138417,-0.013666,-1.500544,0.000976
642255.327200,99950,25,1,-0.000000,0.001294,-0.000000,0.156456,-0.222511,0.219437,0.441948,-3204230002.200842,-0.156045,0.156430,-0.014744,-1.501597,0.000976
808495.904800,99950,25,1,-0.000000,0.001121,-0.000000,0.172070,-0.244225,0.240633,0.484858,-17619747883.385723,-0.172118,0.172276,-0.015748,-1.505347,0.000976
1026883.575000,99950,25,1,0.000000,0.001749,0.000000,0.191574,-0.271881,0.267734,0.539616,3772527858.611575,-0.191948,0.191885,-0.016048,-1.506377,0.000976
1114.703914,112170,25,1,-0.000000,0.000005,-0.000000,0.011314,-0.015997,0.015975,0.031973,-3861914616.737488,-0.011308,0.011297,-0.001295,-1.499701,0.000976
1964.803519,112160,25,1,0.000000,0.000000,0.000000,0.013978,-0.019787,0.019741,0.039528,1789177880.203085,-0.013958,0.013951,-0.002295,-1.498615,0.000976
3628.229323,112160,25,1,-0.000000,-0.000000,-0.000000,0.017451,-0.024667,0.024609,0.049276,-541508620.114460,-0.017445,0.017426,-0.002288,-1.500722,0.000976
4949.221631,112160,25,1,0.000000,0.000003,0.000000,0.019700,-0.027852,0.027794,0.055646,517244854.902260,-0.019678,0.019659,-0.002148,-1.500439,0.000976
6603.373697,112160,25,1,-0.000000,0.000026,-0.000000,0.022053,-0.031195,0.031126,0.062321,-1075355852.012492,-0.022003,0.022005,-0.002308,-1.499676,0.000976
9111.892514,112170,25,1,-0.000000,0.000016,-0.000000,0.024896,-0.035256,0.035171,0.070427,-1062230446.324355,-0.024810,0.024816,-0.002500,-1.497591,0.000976
21305.047720,112160,25,1,0.000000,0.000056,0.000000,0.035020,-0.049533,0.049359,0.098892,2390661153.569086,-0.034923,0.034963,-0.003382,-1.499709,0.000976
28708.388370,112160,25,1,-0.000000,0.000071,-0.000000,0.039476,-0.055855,0.055652,0.111507,-2887358678.457651,-0.039351,0.039451,-0.003781,-1.500096,0.000976
36731.578400,112160,25,1,0.000000,0.000000,0.000000,0.043989,-0.062281,0.062027,0.124308,2815321944.478999,-0.043943,0.043871,-0.004213,-1.499393,0.000976
49122.632390,112160,25,1,0.000000,0.000107,0.000000,0.049560,-0.070180,0.069875,0.140054,7249994256.573947,-0.049434,0.049556,-0.004523,-1.499620,0.000976
64903.797230,112160,25,1,0.000000,0.000131,0.000000,0.055561,-0.078728,0.078351,0.157080,28447034137.034092,-0.055432,0.055463,-0.004942,-1.498847,0.000976
114103.332200,112160,25,1,-0.000000,0.000177,-0.000000,0.070223,-0.099650,0.099044,0.198694,-23969604537.989902,-0.070030,0.070035,-0.006303,-1.497771,0.000976
194634.295400,112160,25,1,-0.000000,0.000299,-0.000000,0.087591,-0.124162,0.123227,0.247390,-22423407638.219112,-0.087371,0.087603,-0.007714,-1.500462,0.000976
329555.134300,112160,25,1,-0.000000,0.000205,-0.000000,0.109731,-0.155679,0.154325,0.310004,-56183689144.591087,-0.109639,0.109456,-0.009130,-1.500580,0.000976
432205.104300,112160,25,1,-0.000000,0.000604,-0.000000,0.122988,-0.174657,0.172992,0.347649,-6996636807.569499,-0.122940,0.123005,-0.010023,-1.499415,0.000976
579176.773800,112160,25,1,-0.000000,0.000710,-0.000000,0.139555,-0.198282,0.196221,0.394503,-3760651899.109503,-0.139464,0.139394,-0.010947,-1.500019,0.000976
737413.581800,112160,25,1,0.000000,0.000705,0.000000,0.154097,-0.218625,0.216042,0.434667,8766457606.172411,-0.154007,0.153986,-0.012349,-1.503456,0.000976
1223675.078000,112160,25,1,-0.000000,0.001664,-0.000000,0.193228,-0.274298,0.270371,0.544670,-39573850053.129524,-0.193364,0.193270,-0.014819,-1.505214,0.000976
1472.545902,125860,25,1,0.000000,0.000000,0.000000,0.011892,-0.016812,0.016809,0.033621,176482807.361296,-0.011868,0.011867,-0.000234,-1.499234,0.000976
2256.015194,125850,25,1,0.000000,0.000000,0.000000,0.013829,-0.019518,0.019514,0.039031,615689208.133384,-0.013827,0.013800,-0.000167,-1.501560,0.000976
3084.707485,125860,25,1,-0.000000,-0.000000,-0.000000,0.015603,-0.022032,0.022024,0.044056,-380413111.276745,-0.015582,0.015591,-0.000347,-1.500930,0.000976
4200.974078,125860,25,1,0.000000,0.000000,0.000000,0.017550,-0.024783,0.024777,0.049560,816873616.769195,-0.017547,0.017541,-0.000498,-1.501158,0.000976
5525.178254,125850,25,1,-0.000000,-0.000000,-0.000000,0.019556,-0.027640,0.027613,0.055252,-541234005.253218,-0.019557,0.019528,-0.001049,-1.500318,0.000976
13775.450030,125860,25,1,0.000000,0.000000,0.000000,0.027812,-0.039270,0.039223,0.078493,263697617.650837,-0.027827,0.027828,-0.001375,-1.500175,0.000976
18310.960220,125850,25,1,-0.000000,-0.000000,-0.000000,0.031142,-0.044003,0.043920,0.087923,-613254649.100582,-0.031099,0.031092,-0.002023,-1.500317,0.000976
24421.931840,125860,25,1,0.000000,0.000000,0.000000,0.034990,-0.049452,0.049366,0.098818,663505995.214614,-0.034981,0.034986,-0.002017,-1.500516,0.000976
32684.681290,125860,25,1,0.000000,0.000000,0.000000,0.039307,-0.055590,0.055470,0.111060,8050122836.085095,-0.039267,0.039301,-0.002343,-1.499676,0.000976
56884.910870,125860,25,1,0.000000,0.000011,0.000000,0.049608,-0.070215,0.070011,0.140226,1080812618.905427,-0.049557,0.049587,-0.003186,-1.499105,0.000976
76878.870800,125850,25,1,0.000000,0.000000,0.000000,0.055972,-0.079298,0.079051,0.158349,7164331031.645174,-0.055904,0.055784,-0.003327,-1.497549,0.000976
172790.731000,125860,25,1,0.000000,0.000000,0.000000,0.077962,-0.110365,0.109835,0.220200,79828377363.058029,-0.077932,0.077909,-0.005120,-1.500408,0.000976
516365.550600,125860,25,1,-0.000000,0.000555,-0.000000,0.123959,-0.175925,0.174572,0.350497,-15866756143.391985,-0.123693,0.123865,-0.008180,-1.499477,0.000976
679260.437000,125860,25,1,0.000000,0.000819,0.000000,0.138540,-0.196282,0.194586,0.390868,141861125363.496246,-0.138579,0.138478,-0.009181,-1.502706,0.000976
1402.690272,141250,25,1,-0.000000,-0.000000,-0.000000,0.011123,-0.015727,0.015722,0.031449,-392757887.252425,-0.011096,0.011116,-0.000308,-1.499231,0.000976
3564.375400,141260,25,1,-0.000000,-0.000000,-0.000000,0.015611,-0.022051,0.022031,0.044082,-614824158.649903,-0.015608,0.015591,-0.000958,-1.501260,0.000976
4792.365224,141270,25,1,-0.000000,0.000004,-0.000000,0.017461,-0.024670,0.024653,0.049323,-2980095999.398396,-0.017439,0.017449,-0.000801,-1.500582,0.000976
