lstat,rm,rad
0.000000,7.007000,2.000000,5.500000
0.000000,7.079000,2.000000,5.700000
0.000000,6.417000,2.000000,8.810000
0.000000,617.849761,4.000000,6.210000
0.000000,6.249000,4.000000,10.590000
0.000000,6.163000,2.000000,11.340000
0.000000,6.727000,5.000000,9.420000
0.000000,6.781000,5.000000,7.670000
0.000000,6.405000,5.000000,10.630000
0.000000,6.137000,5.000000,13.440000
0.000000,5.836000,5.000000,18.660000
0.000000,6.127000,5.000000,14.090000
0.000000,6.474000,5.000000,12.270000
0.000000,6.229000,5.000000,15.550000
0.000000,6.715000,6.000000,10.160000
0.000000,6.254000,6.000000,10.450000
0.000000,6.176000,6.000000,12.040000
0.000000,6.021000,6.000000,10.300000
0.000000,5.872000,6.000000,15.370000
0.000000,5.731000,6.000000,13.610000
0.000000,5.870000,2.000000,14.370000
0.000000,6.004000,2.000000,14.270000
0.000000,5.961000,2.000000,17.930000
0.000000,5.856000,2.000000,25.410000
0.000000,5.879000,2.000000,17.580000
0.000000,5.613000,2.000000,27.260000
0.000000,5.693000,4.000000,17.190000
0.000000,6.431000,4.000000,15.390000
0.000000,6.326000,4.000000,12.260000
0.000000,5.822000,4.000000,15.030000
0.000000,5.757000,4.000000,17.310000
0.000000,5.942000,4.000000,16.900000
0.000000,6.454000,4.000000,14.590000
0.000000,5.857000,4.000000,21.320000
0.000000,6.151000,4.000000,18.460000
0.000000,5.019000,4.000000,34.410000
1.000000,5.403000,5.000000,26.820000
0.000000,6.130000,5.000000,27.800000
0.000000,4.926000,5.000000,29.530000
0.000000,5.186000,5.000000,28.320000
0.000000,5.597000,5.000000,21.450000
0.000000,6.122000,5.000000,14.100000
0.000000,5.709000,5.000000,15.790000
1.000000,6.129000,5.000000,15.120000
0.000000,5.272000,5.000000,16.140000
0.000000,6.066000,5.000000,6.430000
0.000000,6.510000,5.000000,7.390000
1.000000,6.250000,5.000000,5.500000
0.000000,7.489000,5.000000,1.730000
1.000000,8.375000,5.000000,3.320000
0.000000,5.854000,5.000000,11.640000
0.000000,6.101000,5.000000,9.810000
0.000000,7.929000,5.000000,3.700000
0.000000,5.877000,5.000000,12.140000
0.000000,6.402000,5.000000,11.320000
0.000000,5.875000,5.000000,14.430000
0.000000,5.880000,5.000000,12.030000
0.000000,5.572000,5.000000,14.690000
0.000000,6.416000,5.000000,9.040000
0.000000,5.859000,5.000000,9.640000
0.000000,6.546000,5.000000,5.330000
0.000000,6.020000,5.000000,10.110000
0.000000,6.315000,5.000000,6.290000
0.000000,6.860000,5.000000,6.920000
0.000000,6.980000,3.000000,5.040000
0.000000,7.765000,3.000000,7.560000
0.000000,6.144000,3.000000,9.450000
0.000000,7.155000,3.000000,4.820000
0.000000,6.563000,3.000000,5.680000
0.000000,7.831000,3.000000,4.450000
0.000000,6.782000,5.000000,6.680000
0.000000,7.185000,5.000000,5.390000
0.000000,6.951000,5.000000,5.100000
0.000000,6.739000,5.000000,4.690000
0.000000,7.178000,5.000000,2.870000
0.000000,6.800000,1.000000,5.030000
0.000000,6.604000,1.000000,4.380000
0.000000,7.107000,2.000000,8.610000
0.000000,7.135000,3.000000,4.450000
0.000000,6.162000,2.000000,7.430000
0.000000,7.853000,4.000000,3.810000
0.000000,8.034000,4.000000,2.880000
0.000000,5.891000,4.000000,10.870000
0.000000,6.326000,4.000000,10.970000
1.000000,6.064000,4.000000,14.660000
1.000000,5.404000,4.000000,23.980000
0.000000,6.375000,4.000000,9.380000
0.000000,5.412000,4.000000,29.550000
1.000000,5.888000,5.000000,13.510000
1.000000,6.164000,8.000000,21.460000
1.000000,6.879000,8.000000,9.930000
0.000000,6.618000,8.000000,7.600000
0.000000,8.266000,8.000000,4.140000
0.000000,8.725000,8.000000,4.630000
0.000000,8.040000,8.000000,3.130000
0.000000,7.163000,8.000000,6.360000
0.000000,6.552000,8.000000,3.760000
0.000000,5.981000,8.000000,11.650000
0.000000,8.337000,8.000000,2.470000
0.000000,8.247000,8.000000,3.950000
1.000000,6.726000,8.000000,8.050000
0.000000,6.086000,8.000000,10.880000
1.000000,6.631000,8.000000,9.540000
0.000000,6.897000,6.000000,11.380000
0.000000,6.358000,6.000000,11.220000
0.000000,6.393000,6.000000,5.190000
0.000000,5.593000,7.000000,12.500000
0.000000,6.108000,7.000000,9.160000
0.000000,6.433000,7.000000,9.520000
0.000000,6.718000,7.000000,6.560000
0.000000,6.487000,7.000000,5.900000
0.000000,6.438000,7.000000,3.590000
0.000000,8.259000,7.000000,3.540000
0.000000,7.203000,5.000000,9.590000
0.000000,7.520000,5.000000,7.260000
0.000000,8.398000,5.000000,5.910000
0.000000,7.327000,5.000000,11.250000
0.000000,7.206000,5.000000,8.100000
0.000000,5.560000,5.000000,10.450000
0.000000,7.014000,5.000000,14.790000
0.000000,7.470000,5.000000,3.160000
0.000000,6.240000,3.000000,6.590000
0.000000,6.538000,3.000000,7.730000
1.000000,7.691000,3.000000,6.580000
1.000000,6.758000,4.000000,3.530000
0.000000,6.812000,5.000000,4.850000
0.000000,6.968000,5.000000,4.590000
1.000000,7.645000,5.000000,3.010000
1.000000,7.923000,1.000000,3.160000
0.000000,7.088000,1.000000,7.850000
0.000000,6.453000,1.000000,8.230000
0.000000,6.230000,1.000000,12.930000
0.000000,6.315000,6.000000,7.600000
0.000000,6.861000,4.000000,3.330000
0.000000,6.630000,4.000000,4.700000
0.000000,6.127000,4.000000,8.580000
0.000000,6.549000,4.000000,7.390000
0.000000,5.790000,4.000000,15.840000
0.000000,6.590000,7.000000,9.500000
0.000000,6.495000,7.000000,8.670000
0.000000,6.982000,7.000000,4.860000
0.000000,7.236000,7.000000,6.930000
0.000000,6.616000,7.000000,8.930000
0.000000,7.420000,7.000000,6.470000
0.000000,6.635000,4.000000,4.540000
0.000000,5.972000,4.000000,9.970000
0.000000,4.973000,4.000000,12.640000
0.000000,6.122000,4.000000,5.980000
0.000000,6.023000,4.000000,11.720000
0.000000,5.705000,4.000000,11.500000
0.000000,5.914000,4.000000,18.330000
0.000000,5.782000,4.000000,15.940000
0.000000,6.382000,4.000000,10.360000
0.000000,6.426000,5.000000,7.200000
0.000000,6.415000,5.000000,6.120000
0.000000,6.431000,5.000000,5.080000
0.000000,6.083000,5.000000,12.790000
0.000000,5.868000,4.000000,9.970000
0.000000,6.144000,4.000000,9.090000
0.000000,6.316000,5.000000,5.680000
0.000000,6.310000,5.000000,6.750000
0.000000,5.869000,5.000000,9.800000
0.000000,6.059000,5.000000,8.510000
0.000000,5.985000,5.000000,9.740000
0.000000,5.968000,5.000000,9.290000
0.000000,7.241000,1.000000,5.490000
0.000000,6.540000,1.000000,8.650000
0.000000,6.696000,5.000000,7.180000
0.000000,6.874000,5.000000,4.610000
0.000000,6.516000,4.000000,6.360000
0.000000,6.635000,4.000000,5.990000
0.000000,6.939000,1.000000,5.890000
0.000000,5.884000,4.000000,7.790000
1.000000,6.212000,24.000000,17.600000
1.000000,6.395000,24.000000,13.270000
1.000000,6.127000,24.000000,11.480000
0.000000,6.112000,24.000000,12.670000
0.000000,6.398000,24.000000,7.790000
0.000000,5.362000,24.000000,10.190000
0.000000,3.561000,24.000000,7.120000
0.000000,4.963000,24.000000,14.000000
0.000000,3.863000,24.000000,13.330000
0.000000,4.970000,24.000000,3.260000
1.000000,7.016000,24.000000,2.960000
0.000000,6.216000,24.000000,9.530000
1.000000,5.875000,24.000000,8.880000
0.000000,4.906000,24.000000,34.770000
0.000000,4.138000,24.000000,37.970000
0.000000,6.649000,24.000000,23.240000
0.000000,6.794000,24.000000,21.240000
0.000000,5.536000,24.000000,23.600000
0.000000,5.520000,24.000000,24.560000
0.000000,4.368000,24.000000,30.630000
0.000000,4.652000,24.000000,28.280000
0.000000,5.000000,24.000000,31.990000
0.000000,5.390000,24.000000,20.850000
0.000000,6.051000,24.000000,18.760000
0.000000,5.036000,24.000000,25.680000
0.000000,5.887000,24.000000,16.350000
0.000000,6.405000,24.000000,19.370000
0.000000,5.453000,24.000000,30.590000
0.000000,5.987000,24.000000,26.770000
0.000000,6.343000,24.000000,20.320000
0.000000,5.349000,24.000000,19.770000
0.000000,5.608000,24.000000,12.130000
0.000000,5.617000,24.000000,26.400000
0.000000,5.155000,24.000000,20.080000
0.000000,4.519000,24.000000,36.980000
0.000000,6.434000,24.000000,29.050000
0.000000,5.304000,24.000000,26.640000
0.000000,5.957000,24.000000,20.620000
0.000000,6.824000,24.000000,22.740000
0.000000,5.565000,24.000000,17.160000
0.000000,5.896000,24.000000,24.390000
0.000000,6.202000,24.000000,14.520000
0.000000,6.193000,24.000000,21.520000
0.000000,6.380000,24.000000,24.080000
0.000000,6.833000,24.000000,19.690000
0.000000,6.425000,24.000000,12.030000
0.000000,6.436000,24.000000,16.220000
0.000000,6.208000,24.000000,15.170000
0.000000,6.152000,24.000000,26.450000
0.000000,5.627000,24.000000,22.880000
0.000000,5.818000,24.000000,22.110000
0.000000,6.406000,24.000000,19.520000
0.000000,6.219000,24.000000,16.590000
0.000000,6.485000,24.000000,18.850000
0.000000,5.854000,24.000000,23.790000
0.000000,6.459000,24.000000,23.980000
0.000000,6.251000,24.000000,16.440000
0.000000,6.185000,24.000000,18.130000
0.000000,6.655000,24.000000,17.730000
0.000000,6.297000,24.000000,17.270000
0.000000,7.393000,24.000000,16.740000
0.000000,6.525000,24.000000,18.130000
0.000000,5.936000,24.000000,16.940000
0.000000,6.301000,24.000000,16.230000
0.000000,6.081000,24.000000,14.700000
0.000000,6.701000,24.000000,16.420000
0.000000,6.376000,24.000000,14.650000
0.000000,6.317000,24.000000,13.990000
0.000000,6.513000,24.000000,10.290000
0.000000,6.209000,24.000000,13.220000
0.000000,5.759000,24.000000,14.130000
0.000000,5.952000,24.000000,17.150000
0.000000,6.003000,24.000000,21.320000
0.000000,5.926000,24.000000,18.130000
0.000000,5.713000,24.000000,14.760000
0.000000,6.229000,24.000000,12.870000
0.000000,6.437000,24.000000,14.360000
0.000000,5.427000,24.000000,18.140000
0.000000,6.484000,24.000000,18.680000
0.000000,5.304000,24.000000,24.910000
0.000000,6.185000,24.000000,18.030000
0.000000,6.229000,24.000000,13.110000
0.000000,6.242000,24.000000,10.740000
0.000000,6.750000,24.000000,7.740000
0.000000,5.762000,24.000000,10.420000
0.000000,5.871000,24.000000,13.340000
0.000000,6.114000,24.000000,14.980000
0.000000,5.905000,24.000000,11.450000
0.000000,5.454000,4.000000,18.060000
0.000000,5.093000,4.000000,29.680000
0.000000,5.983000,4.000000,18.070000
0.000000,5.983000,4.000000,13.350000
0.000000,5.707000,6.000000,12.010000
0.000000,5.794000,6.000000,14.100000
0.000000,5.569000,6.000000,15.100000
0.000000,6.593000,1.000000,9.670000
0.000000,6.120000,1.000000,9.080000
0.000000,6.976000,1.000000,5.640000
0.000000,6.030000,1.000000,7.880000
