,support,itemsets
46,0.02836807320793086,frozenset({'其他饮料'})
47,0.024504321301474327,frozenset({'硬奶酪'})
48,0.023284189120488054,frozenset({'猫食'})
49,0.026029486527707167,frozenset({'火腿'})
50,0.021047280122013217,frozenset({'口香糖'})
51,0.02806304016268429,frozenset({'油'})
52,0.025012709710218607,frozenset({'冰淇淋'})
53,0.04809354346720895,frozenset({'冷冻蔬菜'})
54,0.03040162684290798,frozenset({'特色巧克力'})
55,0.02836807320793086,frozenset({'冷冻餐饭'})
56,0.031011692933401117,frozenset({'洋葱'})
57,0.024504321301474327,frozenset({'切片奶酪'})
58,0.025826131164209457,frozenset({'一般肉类'})
59,0.021657346212506354,"frozenset({'酸奶', '柑橘类水果'})"
60,0.030503304524656837,"frozenset({'全脂牛奶', '柑橘类水果'})"
61,0.02887646161667514,"frozenset({'其他蔬菜', '柑橘类水果'})"
62,0.024199288256227757,"frozenset({'全脂牛奶', '人造黄油'})"
63,0.029283172343670564,"frozenset({'热带水果', '酸奶'})"
64,0.04229791560752415,"frozenset({'全脂牛奶', '热带水果'})"
65,0.02043721403152008,"frozenset({'热带水果', '仁果类水果'})"
66,0.035892221657346214,"frozenset({'其他蔬菜', '热带水果'})"
67,0.024605998983223184,"frozenset({'面包卷', '热带水果'})"
68,0.020843924758515507,"frozenset({'苏打', '热带水果'})"
69,0.021047280122013217,"frozenset({'根茎类蔬菜', '热带水果'})"
70,0.05602440264361973,"frozenset({'全脂牛奶', '酸奶'})"
71,0.04341637010676157,"frozenset({'其他蔬菜', '酸奶'})"
72,0.03436705643111337,"frozenset({'面包卷', '酸奶'})"
73,0.022979156075241484,"frozenset({'瓶装水', '酸奶'})"
74,0.027351296390442297,"frozenset({'苏打', '酸奶'})"
75,0.025826131164209457,"frozenset({'根茎类蔬菜', '酸奶'})"
76,0.02074224707676665,"frozenset({'酸奶油', '酸奶'})"
77,0.030096593797661414,"frozenset({'全脂牛奶', '仁果类水果'})"
78,0.07483477376715811,"frozenset({'其他蔬菜', '全脂牛奶'})"
79,0.02755465175394001,"frozenset({'黄油', '全脂牛奶'})"
80,0.05663446873411286,"frozenset({'面包卷', '全脂牛奶'})"
81,0.02043721403152008,"frozenset({'瓶装啤酒', '全脂牛奶'})"
82,0.03436705643111337,"frozenset({'全脂牛奶', '瓶装水'})"
83,0.026131164209456024,"frozenset({'凝乳', '全脂牛奶'})"
84,0.02125063548551093,"frozenset({'牛肉', '全脂牛奶'})"
85,0.020538891713268937,"frozenset({'冷冻热狗肠', '全脂牛奶'})"
86,0.040061006609049314,"frozenset({'苏打', '全脂牛奶'})"
87,0.026639552618200304,"frozenset({'水果/蔬菜汁', '全脂牛奶'})"
88,0.027351296390442297,"frozenset({'全脂牛奶', '报纸'})"
89,0.033248601931875954,"frozenset({'糕点', '全脂牛奶'})"
90,0.048906964921199794,"frozenset({'根茎类蔬菜', '全脂牛奶'})"
91,0.0298932384341637,"frozenset({'全脂牛奶', '香肠'})"
92,0.02521606507371632,"frozenset({'全脂牛奶', '黑面包'})"
93,0.024504321301474327,"frozenset({'购物袋', '全脂牛奶'})"
94,0.022165734621250637,"frozenset({'全脂牛奶', '猪肉'})"
95,0.032231825114387394,"frozenset({'酸奶油', '全脂牛奶'})"
96,0.029994916115912557,"frozenset({'本地蛋类', '全脂牛奶'})"
97,0.02043721403152008,"frozenset({'冷冻蔬菜', '全脂牛奶'})"
98,0.026131164209456024,"frozenset({'其他蔬菜', '仁果类水果'})"
99,0.020030503304524657,"frozenset({'其他蔬菜', '黄油'})"
100,0.042602948652770714,"frozenset({'其他蔬菜', '面包卷'})"
101,0.024809354346720894,"frozenset({'其他蔬菜', '瓶装水'})"
102,0.032740213523131674,"frozenset({'其他蔬菜', '苏打'})"
103,0.021047280122013217,"frozenset({'其他蔬菜', '水果/蔬菜汁'})"
104,0.02257244534824606,"frozenset({'糕点', '其他蔬菜'})"
105,0.047381799694966954,"frozenset({'其他蔬菜', '根茎类蔬菜'})"
106,0.026944585663446874,"frozenset({'其他蔬菜', '香肠'})"
107,0.023182511438739197,"frozenset({'购物袋', '其他蔬菜'})"
108,0.021657346212506354,"frozenset({'其他蔬菜', '猪肉'})"
109,0.02887646161667514,"frozenset({'其他蔬菜', '酸奶油'})"
110,0.02226741230299949,"frozenset({'其他蔬菜', '本地蛋类'})"
111,0.024199288256227757,"frozenset({'面包卷', '瓶装水'})"
112,0.03833248601931876,"frozenset({'面包卷', '苏打'})"
113,0.02094560244026436,"frozenset({'糕点', '面包卷'})"
114,0.024300965937976614,"frozenset({'根茎类蔬菜', '面包卷'})"
115,0.030604982206405694,"frozenset({'面包卷', '香肠'})"
116,0.028978139298423997,"frozenset({'苏打', '瓶装水'})"
117,0.021047280122013217,"frozenset({'糕点', '苏打'})"
118,0.024300965937976614,"frozenset({'苏打', '香肠'})"
119,0.024605998983223184,"frozenset({'购物袋', '苏打'})"
120,0.02226741230299949,"frozenset({'其他蔬菜', '全脂牛奶', '酸奶'})"
121,0.023182511438739197,"frozenset({'其他蔬菜', '根茎类蔬菜', '全脂牛奶'})"
