Class,Filename,Filepath,Width,Height,FirstLevel,SecondLevel
Com,104a146ea144fd4bd986fb61fbf865b0.tif,ImageSets\Com\104a146ea144fd4bd986fb61fbf865b0.tif,117,131,Commercial Zones,Office Campus
Res,110d261e8689e7bba6a988e0889eb795.tif,ImageSets\Res\110d261e8689e7bba6a988e0889eb795.tif,266,104,Residential Districts,Rural Homestead
Pub,11ac6f8cc7bac786a5220636fd6a517e.tif,ImageSets\Pub\11ac6f8cc7bac786a5220636fd6a517e.tif,227,192,Public Services,Parks and Squares
Com,11db4666adab95ead606ec55d3074fae.tif,ImageSets\Com\11db4666adab95ead606ec55d3074fae.tif,391,229,Commercial Zones,Office Campus
Ind,11e8ae9e3fcfc6c6b9119257e0612fae.tif,ImageSets\Ind\11e8ae9e3fcfc6c6b9119257e0612fae.tif,350,444,Industrial Land,Industrial Park and Factory
Agr,1222925bba73a84764ddbc8ca7168378.tif,ImageSets\Agr\1222925bba73a84764ddbc8ca7168378.tif,509,346,Agriculture and Nature,Forestland and Grassland
Agr,12ad372e4092564152524ada64d043d2.tif,ImageSets\Agr\12ad372e4092564152524ada64d043d2.tif,238,230,Agriculture and Nature,Wasteland
Ind,12c59c2a261a51e8d2cf743456f8ae64.tif,ImageSets\Ind\12c59c2a261a51e8d2cf743456f8ae64.tif,541,383,Industrial Land,Industrial Park and Factory
Agr,1360e3c681b46195dc413409bb34881e.tif,ImageSets\Agr\1360e3c681b46195dc413409bb34881e.tif,376,399,Agriculture and Nature,Farmland
Ind,13a59d2b161906e9684208730b36f171.tif,ImageSets\Ind\13a59d2b161906e9684208730b36f171.tif,180,146,Industrial Land,Industrial Park and Factory
Pub,13a7799c939500b642f8545413df3770.tif,ImageSets\Pub\13a7799c939500b642f8545413df3770.tif,128,117,Public Services,Educational and Research Institutions
Ind,13a875d14a993fc628274316318274c9.tif,ImageSets\Ind\13a875d14a993fc628274316318274c9.tif,246,116,Industrial Land,Industrial Park and Factory
Ind,13cadcae4afb331b024beda09b37b4ef.tif,ImageSets\Ind\13cadcae4afb331b024beda09b37b4ef.tif,228,230,Industrial Land,Industrial Park and Factory
Pub,13e896267969dd67366b9b92d3501551.tif,ImageSets\Pub\13e896267969dd67366b9b92d3501551.tif,235,108,Public Services,Educational and Research Institutions
Res,13ff33511e2176bc6038e81563d95de3.tif,ImageSets\Res\13ff33511e2176bc6038e81563d95de3.tif,107,178,Residential Districts,High-rise Residential Buildings
Com,14447d4131a1f0d229ce8beb4e852d8f.tif,ImageSets\Com\14447d4131a1f0d229ce8beb4e852d8f.tif,196,177,Commercial Zones,Office Campus
Com,14b79e8da6c6a197635c86ff91fad346.tif,ImageSets\Com\14b79e8da6c6a197635c86ff91fad346.tif,137,154,Commercial Zones,Business Tower
Ind,14cb0624c85105470861dbb097851ed2.tif,ImageSets\Ind\14cb0624c85105470861dbb097851ed2.tif,258,233,Industrial Land,Industrial Park and Factory
Pub,14d40a1f876d1fd0ed96e099658d6d46.tif,ImageSets\Pub\14d40a1f876d1fd0ed96e099658d6d46.tif,168,263,Public Services,Educational and Research Institutions
Pub,14dd2008104101443421a3a5aaba1aac.tif,ImageSets\Pub\14dd2008104101443421a3a5aaba1aac.tif,211,446,Public Services,Parks and Squares
Pub,14eaa66489bf5bea004affab6331b292.tif,ImageSets\Pub\14eaa66489bf5bea004affab6331b292.tif,222,168,Public Services,Educational and Research Institutions
Com,152981c2d6421805113b40d3ef63a4a6.tif,ImageSets\Com\152981c2d6421805113b40d3ef63a4a6.tif,107,128,Commercial Zones,Business Tower
Agr,1555d74e68141f5bd7e4cfaaaf467517.tif,ImageSets\Agr\1555d74e68141f5bd7e4cfaaaf467517.tif,644,747,Agriculture and Nature,Water
Pub,155a17a788d2c89943f92fa93753aad8.tif,ImageSets\Pub\155a17a788d2c89943f92fa93753aad8.tif,163,222,Public Services,Educational and Research Institutions
Ind,156ebc4ff1c71bb3e68766108a1d43f2.tif,ImageSets\Ind\156ebc4ff1c71bb3e68766108a1d43f2.tif,194,186,Industrial Land,Industrial Park and Factory
Com,15a301560bce7b7c8e1e3c8b5f9c786b.tif,ImageSets\Com\15a301560bce7b7c8e1e3c8b5f9c786b.tif,335,281,Commercial Zones,Office Campus
Agr,15f384ec6079d7cc85e47e40a7dbcdb4.tif,ImageSets\Agr\15f384ec6079d7cc85e47e40a7dbcdb4.tif,1535,1147,Agriculture and Nature,Farmland
Agr,15f5195a8fe54361b370f78783574c63.tif,ImageSets\Agr\15f5195a8fe54361b370f78783574c63.tif,1014,922,Agriculture and Nature,Farmland
Res,1605b24b6f3672c2efb246882f7d6395.tif,ImageSets\Res\1605b24b6f3672c2efb246882f7d6395.tif,230,355,Residential Districts,High-rise Residential Buildings
Com,162a041f45b4219c2c905bdcef083517.tif,ImageSets\Com\162a041f45b4219c2c905bdcef083517.tif,114,108,Commercial Zones,Business Tower
Pub,1707e31065f0c57c235cdb1b5ad8596b.tif,ImageSets\Pub\1707e31065f0c57c235cdb1b5ad8596b.tif,534,312,Public Services,Educational and Research Institutions
Com,171178088255a502c9f5b219433e4ee9.tif,ImageSets\Com\171178088255a502c9f5b219433e4ee9.tif,476,262,Commercial Zones,Commercial Market
Ind,17525a151e24bf8cdecff57b64b5b7a9.tif,ImageSets\Ind\17525a151e24bf8cdecff57b64b5b7a9.tif,120,138,Industrial Land,Industrial Park and Factory
Pub,17862a11a2166d6eb4a0d0f3bbeee7a3.tif,ImageSets\Pub\17862a11a2166d6eb4a0d0f3bbeee7a3.tif,111,247,Public Services,Parks and Squares
Pub,179b5f6db3a0f348968f0acf5d3221b3.tif,ImageSets\Pub\179b5f6db3a0f348968f0acf5d3221b3.tif,222,177,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Agr,17a26fc98f7dc5d17844caab4a558609.tif,ImageSets\Agr\17a26fc98f7dc5d17844caab4a558609.tif,1313,2253,Agriculture and Nature,Farmland
Res,17cb543499e6f12e3ab94a5bf3494b39.tif,ImageSets\Res\17cb543499e6f12e3ab94a5bf3494b39.tif,231,265,Residential Districts,High-rise Residential Buildings
Res,17d17235ff246a1f33b78a42ca0141ee.tif,ImageSets\Res\17d17235ff246a1f33b78a42ca0141ee.tif,260,216,Residential Districts,High-rise Residential Buildings
Com,182c85284f2977dbb0d7d353c08da35f.tif,ImageSets\Com\182c85284f2977dbb0d7d353c08da35f.tif,161,156,Commercial Zones,Office Campus
Agr,183d7ce219b0d8aebf4fdaf9e45ebad0.tif,ImageSets\Agr\183d7ce219b0d8aebf4fdaf9e45ebad0.tif,134,139,Agriculture and Nature,Farmland
Com,1895dc6ff58cb0c0d504b67b44463c28.tif,ImageSets\Com\1895dc6ff58cb0c0d504b67b44463c28.tif,151,126,Commercial Zones,Shopping Center and Commercial Street
Com,18aace213bd43abac569cb1120557150.tif,ImageSets\Com\18aace213bd43abac569cb1120557150.tif,186,146,Commercial Zones,Shopping Center and Commercial Street
Pub,18c66f2ad64c04553ba122f24bf500e0.tif,ImageSets\Pub\18c66f2ad64c04553ba122f24bf500e0.tif,373,423,Public Services,Educational and Research Institutions
Ind,1941e02ca6cc3f5745f93be8c7716a6b.tif,ImageSets\Ind\1941e02ca6cc3f5745f93be8c7716a6b.tif,434,302,Industrial Land,Industrial Park and Factory
Pub,194a3ba80413768882f981cd9914c906.tif,ImageSets\Pub\194a3ba80413768882f981cd9914c906.tif,105,122,Public Services,Educational and Research Institutions
Pub,1966647eefe4bfedbbd47e5679302a02.tif,ImageSets\Pub\1966647eefe4bfedbbd47e5679302a02.tif,312,268,Public Services,Parks and Squares
Com,19a08d2b4562c14e6a114ef8e976a40a.tif,ImageSets\Com\19a08d2b4562c14e6a114ef8e976a40a.tif,126,166,Commercial Zones,Office Campus
Agr,19a8a6188557b13181f911f66eb8ff83.tif,ImageSets\Agr\19a8a6188557b13181f911f66eb8ff83.tif,684,343,Agriculture and Nature,Farmland
Com,19b4699cfe4a06480c2d1a5204482df3.tif,ImageSets\Com\19b4699cfe4a06480c2d1a5204482df3.tif,209,187,Commercial Zones,Office Campus
Ind,19e16d1a8db9212f68d1b5e1cbe43c54.tif,ImageSets\Ind\19e16d1a8db9212f68d1b5e1cbe43c54.tif,241,193,Industrial Land,Industrial Park and Factory
Ind,1a20aed8235c2a7ff5347f1b917bcc2e.tif,ImageSets\Ind\1a20aed8235c2a7ff5347f1b917bcc2e.tif,300,300,Industrial Land,Industrial Park and Factory
Pub,1a42a618813dd05c26f339a384581018.tif,ImageSets\Pub\1a42a618813dd05c26f339a384581018.tif,312,423,Public Services,Educational and Research Institutions
Agr,1ab724e0ac02e27e53abffa23f19adfb.tif,ImageSets\Agr\1ab724e0ac02e27e53abffa23f19adfb.tif,611,397,Agriculture and Nature,Farmland
Agr,1b1585fc7de88d57ce0247eff9ddc9df.tif,ImageSets\Agr\1b1585fc7de88d57ce0247eff9ddc9df.tif,242,238,Agriculture and Nature,Forestland and Grassland
Pub,1b7b8ee14aa2a441aa2eb8ec02d7cb2b.tif,ImageSets\Pub\1b7b8ee14aa2a441aa2eb8ec02d7cb2b.tif,158,152,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Pub,1b8a36578d95f1855461493bb05dfddd.tif,ImageSets\Pub\1b8a36578d95f1855461493bb05dfddd.tif,200,207,Public Services,Parks and Squares
Pub,1b917ee9d243313ac46d9ad73ff5fecc.tif,ImageSets\Pub\1b917ee9d243313ac46d9ad73ff5fecc.tif,494,329,Public Services,Educational and Research Institutions
Com,1c2e33999c07b80da209b0cbb9bfc94d.tif,ImageSets\Com\1c2e33999c07b80da209b0cbb9bfc94d.tif,214,181,Commercial Zones,Office Campus
Pub,1c4f02ce10336c0dceb7a44a81853501.tif,ImageSets\Pub\1c4f02ce10336c0dceb7a44a81853501.tif,244,306,Public Services,Educational and Research Institutions
Ind,1c616d77d7c0a905a637f3ef13544557.tif,ImageSets\Ind\1c616d77d7c0a905a637f3ef13544557.tif,198,147,Industrial Land,Industrial Park and Factory
Pub,1c65bf73385d8c9f7e8f4a6fcbc7cc86.tif,ImageSets\Pub\1c65bf73385d8c9f7e8f4a6fcbc7cc86.tif,563,278,Public Services,Parks and Squares
Ind,1c9a894896c5c16af28a1b208ce63351.tif,ImageSets\Ind\1c9a894896c5c16af28a1b208ce63351.tif,287,271,Industrial Land,Industrial Park and Factory
Ind,1cc93bde24ce98c6b9e96eee7ad854dc.tif,ImageSets\Ind\1cc93bde24ce98c6b9e96eee7ad854dc.tif,410,267,Industrial Land,Industrial Park and Factory
Ind,1cd1fa290a5e12c3ab94cba602f85f1c.tif,ImageSets\Ind\1cd1fa290a5e12c3ab94cba602f85f1c.tif,188,153,Industrial Land,Industrial Park and Factory
Pub,1d372678ebd43a384cb2e73bf8be142f.tif,ImageSets\Pub\1d372678ebd43a384cb2e73bf8be142f.tif,192,142,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Agr,1d3f6c9b3226fc6231bafd67e9d0ac6f.tif,ImageSets\Agr\1d3f6c9b3226fc6231bafd67e9d0ac6f.tif,430,789,Agriculture and Nature,Mountain
Pub,1d6b2353369957b5ed8d53a9fadecd5c.tif,ImageSets\Pub\1d6b2353369957b5ed8d53a9fadecd5c.tif,500,442,Public Services,Educational and Research Institutions
Ind,1d8dcc5f6540517e96ab3c0db4635225.tif,ImageSets\Ind\1d8dcc5f6540517e96ab3c0db4635225.tif,436,789,Industrial Land,Industrial Park and Factory
Ind,1e22d4c5024f6c8ae70f4367f485b74c.tif,ImageSets\Ind\1e22d4c5024f6c8ae70f4367f485b74c.tif,208,234,Industrial Land,Industrial Park and Factory
Com,1e9d73bf23b4bde00a8e26c0ca2df896.tif,ImageSets\Com\1e9d73bf23b4bde00a8e26c0ca2df896.tif,185,319,Commercial Zones,Commercial Market
Pub,1ec55ff4a5fc9405592ad421056a1c32.tif,ImageSets\Pub\1ec55ff4a5fc9405592ad421056a1c32.tif,276,213,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Pub,1ef1a500ee5f052d09a941e72c8c81c1.tif,ImageSets\Pub\1ef1a500ee5f052d09a941e72c8c81c1.tif,119,215,Public Services,Educational and Research Institutions
Pub,1f781b189bfb44106d647d10305111f6.tif,ImageSets\Pub\1f781b189bfb44106d647d10305111f6.tif,227,275,Public Services,Educational and Research Institutions
Com,1f89c629c3ad38c295acc50415de18df.tif,ImageSets\Com\1f89c629c3ad38c295acc50415de18df.tif,152,103,Commercial Zones,Business Tower
Com,1fc21b14cc13613abfcaf511f5526d42.tif,ImageSets\Com\1fc21b14cc13613abfcaf511f5526d42.tif,368,293,Commercial Zones,Commercial Market
Com,2084e6400b1b56ce7cd5c1bd1859d933.tif,ImageSets\Com\2084e6400b1b56ce7cd5c1bd1859d933.tif,256,222,Commercial Zones,Hotel
Pub,2087a5adc715b4a7d366d25341dae277.tif,ImageSets\Pub\2087a5adc715b4a7d366d25341dae277.tif,101,109,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Ind,20c57a1c120c13062feedff76b7fee79.tif,ImageSets\Ind\20c57a1c120c13062feedff76b7fee79.tif,382,307,Industrial Land,Industrial Park and Factory
Com,20d941f17ddf840beab9fdd5eb9080a6.tif,ImageSets\Com\20d941f17ddf840beab9fdd5eb9080a6.tif,227,370,Commercial Zones,Commercial Market
Com,21353d790905e9a248486f8734976670.tif,ImageSets\Com\21353d790905e9a248486f8734976670.tif,206,174,Commercial Zones,Office Campus
Pub,2147655b5d7899870f200bbc7c47d002.tif,ImageSets\Pub\2147655b5d7899870f200bbc7c47d002.tif,189,170,Public Services,Educational and Research Institutions
Agr,21c37c6353090cfaba9984415c4baa34.tif,ImageSets\Agr\21c37c6353090cfaba9984415c4baa34.tif,2964,3907,Agriculture and Nature,Mountain
Agr,21c9618f3913b6ac58d4aa705b1fd080.tif,ImageSets\Agr\21c9618f3913b6ac58d4aa705b1fd080.tif,4544,4221,Agriculture and Nature,Farmland
Res,222ab5d83282c2ff83cba00f20b6e587.tif,ImageSets\Res\222ab5d83282c2ff83cba00f20b6e587.tif,108,108,Residential Districts,High-rise Residential Buildings
Agr,225bbcf9beacdbf57fd8a511fb79876d.tif,ImageSets\Agr\225bbcf9beacdbf57fd8a511fb79876d.tif,193,406,Agriculture and Nature,Wasteland
Com,2273aa16f243bc4332b56c2c83d07c58.tif,ImageSets\Com\2273aa16f243bc4332b56c2c83d07c58.tif,108,136,Commercial Zones,Business Tower
Com,2322b75fd1fbbdcad0121945ff287a79.tif,ImageSets\Com\2322b75fd1fbbdcad0121945ff287a79.tif,105,129,Commercial Zones,Shopping Center and Commercial Street
Pub,234afddea04809979c04c76e21599e6a.tif,ImageSets\Pub\234afddea04809979c04c76e21599e6a.tif,379,244,Public Services,Educational and Research Institutions
Ind,23a971db1f74626ed0c4c6d5ad5bdb93.tif,ImageSets\Ind\23a971db1f74626ed0c4c6d5ad5bdb93.tif,272,187,Industrial Land,Industrial Park and Factory
Agr,23bd75564443eab4486679f08180e4ee.tif,ImageSets\Agr\23bd75564443eab4486679f08180e4ee.tif,259,316,Agriculture and Nature,Forestland and Grassland
Ind,243b2df28c708fc31c23cea9543ecf3f.tif,ImageSets\Ind\243b2df28c708fc31c23cea9543ecf3f.tif,475,235,Industrial Land,Industrial Park and Factory
Agr,244cd6afbafa3cbff590fbc01b8a4a9f.tif,ImageSets\Agr\244cd6afbafa3cbff590fbc01b8a4a9f.tif,183,181,Agriculture and Nature,Mountain
